тэтэрээт<NOUN><Number=Sing><Case=Com>	тэтэрээттиин
тэтэрээт<NOUN><Number=Sing><Int=Yes><Case=Nom>	тэтэрээтий
тэтэрээт<NOUN><Number=Sing><Case=Abl>	тэтэрээттан
тэтэрээт<NOUN><Number=Sing><Case=Dat><Nomzr=Action>	тэтэрээтыахха
тэтэрээт<NOUN><Number=Sing><Case=Cmp>	тэтэрээттээҕэр
тэтэрээт<NOUN><Number=Sing><Case=Par>	тэтэрээттэ
тэтэрээт<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэтэрээтлэрин
тэтэрээт<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэтэрээтлэрэ
тэтэрээт<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэтэрээтэ
тэтэрээт<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэтэрээттинэн
тэтэрээт<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэтэрээттигэр
тэтэрээт<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэтэрээтин
тэтэрээт<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэтэрээтиҥ
тэтэрээт<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэтэрээтим
тэтэрээт<NOUN><Number=Sing><Case=Nom>	тэтэрээт
тэтэрээт<NOUN><Number=Sing><Case=Acc>	тэтэрээти
тэтэрээт<NOUN><Number=Sing><Case=Ins>	тэтэрээтинэн
тэтэрээт<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэтэрээттэргит
тэтэрээт<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэтэрээттэрбит
тэтэрээт<NOUN><Number=Plur><Case=Com>	тэтэрээттэрдиин
тэтэрээт<NOUN><Number=Plur><Int=Yes><Case=Nom>	тэтэрээттэрий
тэтэрээт<NOUN><Number=Plur><Case=Abl>	тэтэрээттэртан
тэтэрээт<NOUN><Number=Plur><Case=Dat><Nomzr=Action>	тэтэрээттэрыахха
тэтэрээт<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэтэрээттэрлэрин
тэтэрээт<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэтэрээттэрлэрэ
тэтэрээт<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэтэрээттэрэ
